Instance ID,Absolute Runtime ms,Memory KB,Test Files,Execution Pass,Token-Exact,Input Bytes Min,Input Bytes Median,Input Bytes Max,Neutral E3 Evidence Text
ADSO_TEST_001,20.83,13536,17,17/17,17/17,8,16,467,"Observed per-program execution evidence: absolute ACEOB runtime=20.83 ms; memory=13536 KB. Independent audit: 17/17 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..467 bytes (median 16). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_002,24.06,248,3,3/3,3/3,8,119,119,"Observed per-program execution evidence: absolute ACEOB runtime=24.06 ms; memory=248 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..119 bytes (median 119). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_003,20.97,1576,18,18/18,18/18,16,17,86,"Observed per-program execution evidence: absolute ACEOB runtime=20.97 ms; memory=1576 KB. Independent audit: 18/18 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=16..86 bytes (median 17.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_004,28.41,0,12,12/12,12/12,5,138,138,"Observed per-program execution evidence: absolute ACEOB runtime=28.41 ms; memory=0 KB. Independent audit: 12/12 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=5..138 bytes (median 138.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_005,40.92,2556,2,2/2,2/2,72,72,72,"Observed per-program execution evidence: absolute ACEOB runtime=40.92 ms; memory=2556 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=72..72 bytes (median 72.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_006,88.12,148600,4,4/4,4/4,11,25,26,"Observed per-program execution evidence: absolute ACEOB runtime=88.12 ms; memory=148600 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=11..26 bytes (median 25.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_007,20.66,7028,2,2/2,2/2,46,46,46,"Observed per-program execution evidence: absolute ACEOB runtime=20.66 ms; memory=7028 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=46..46 bytes (median 46.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_008,30.31,18452,4,4/4,4/4,20,48,52,"Observed per-program execution evidence: absolute ACEOB runtime=30.31 ms; memory=18452 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=20..52 bytes (median 48.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_009,20.47,0,3,3/3,3/3,16,64,64,"Observed per-program execution evidence: absolute ACEOB runtime=20.47 ms; memory=0 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=16..64 bytes (median 64). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_010,22.44,11768,2,2/2,2/2,118,118,118,"Observed per-program execution evidence: absolute ACEOB runtime=22.44 ms; memory=11768 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=118..118 bytes (median 118.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
