Instance ID,Parse,LOC,AST Nodes,Functions,Recursive Functions,Loops,Max Loop Nesting,If Branches,Comprehensions,Sort Operations,range Calls,Calls Inside Loops,Allocations,Imports,Neutral E2 Evidence Text
ADSO_TEST_001,OK,20,178,0,0,4,3,2,0,0,1,11,6,1,Deterministic Python AST facts: parse=OK; executable_LOC=20; AST_nodes=178; functions=0; recursive_functions=0; loops=4; max_loop_nesting=3; if_branches=2; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=11; allocations=6; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_002,OK,18,163,1,0,3,2,1,0,0,2,12,2,0,Deterministic Python AST facts: parse=OK; executable_LOC=18; AST_nodes=163; functions=1; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=1; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=12; allocations=2; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_003,OK,41,248,0,0,2,2,9,0,0,2,16,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=41; AST_nodes=248; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=9; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=16; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_004,OK,35,275,2,2,4,1,5,1,1,1,16,6,0,Deterministic Python AST facts: parse=OK; executable_LOC=35; AST_nodes=275; functions=2; recursive_functions=2; loops=4; max_loop_nesting=1; if_branches=5; comprehensions=1; sort_operations=1; range_calls=1; calls_inside_loops=16; allocations=6; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_005,OK,40,257,6,0,5,3,2,0,1,4,17,4,8,Deterministic Python AST facts: parse=OK; executable_LOC=40; AST_nodes=257; functions=6; recursive_functions=0; loops=5; max_loop_nesting=3; if_branches=2; comprehensions=0; sort_operations=1; range_calls=4; calls_inside_loops=17; allocations=4; imports=8. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_006,OK,27,229,1,0,4,3,0,3,0,4,17,3,4,Deterministic Python AST facts: parse=OK; executable_LOC=27; AST_nodes=229; functions=1; recursive_functions=0; loops=4; max_loop_nesting=3; if_branches=0; comprehensions=3; sort_operations=0; range_calls=4; calls_inside_loops=17; allocations=3; imports=4. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_007,OK,7,59,1,0,1,1,0,0,0,1,9,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=7; AST_nodes=59; functions=1; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=9; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_008,OK,38,340,2,1,4,2,4,2,0,3,15,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=38; AST_nodes=340; functions=2; recursive_functions=1; loops=4; max_loop_nesting=2; if_branches=4; comprehensions=2; sort_operations=0; range_calls=3; calls_inside_loops=15; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_009,OK,24,227,1,0,2,1,2,0,2,1,10,5,0,Deterministic Python AST facts: parse=OK; executable_LOC=24; AST_nodes=227; functions=1; recursive_functions=0; loops=2; max_loop_nesting=1; if_branches=2; comprehensions=0; sort_operations=2; range_calls=1; calls_inside_loops=10; allocations=5; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_010,OK,49,478,1,0,5,3,5,3,0,2,18,4,0,Deterministic Python AST facts: parse=OK; executable_LOC=49; AST_nodes=478; functions=1; recursive_functions=0; loops=5; max_loop_nesting=3; if_branches=5; comprehensions=3; sort_operations=0; range_calls=2; calls_inside_loops=18; allocations=4; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_011,OK,31,305,2,1,4,1,1,3,0,3,6,1,3,Deterministic Python AST facts: parse=OK; executable_LOC=31; AST_nodes=305; functions=2; recursive_functions=1; loops=4; max_loop_nesting=1; if_branches=1; comprehensions=3; sort_operations=0; range_calls=3; calls_inside_loops=6; allocations=1; imports=3. Structural facts only; no efficiency label or recommendation.
