Instance ID,ACEOB Problem,Pair,Title,Hidden Role,Final Label,Strength,Reason,Runtime ms,Memory KB,Execution Pass,Token-Exact,URL
ADSO_TEST_001,189,004,Coprime,Efficient,PRESERVE,A,Relevant-value pair checking avoids broad coprime precomputation; clear avoidable repeated work.,20.83,13536,17/17,17/17,https://codeforces.com/problemset/problem/1742/D
ADSO_TEST_002,325,000,Chopping Carrots (Easy Version),Inefficient,OPTIMIZE,B,Restricts candidate range instead of repeatedly scanning through the global maximum.,24.06,248,3/3,3/3,https://codeforces.com/problemset/problem/1706/D1
ADSO_TEST_003,283,000,Smaller,Efficient,PRESERVE,A,Processes queries online with O(1) state instead of storing all O(q) query records.,20.97,1576,18/18,18/18,https://codeforces.com/problemset/problem/1742/F
ADSO_TEST_004,027,062,Minimum Varied Number,Inefficient,OPTIMIZE,A,Greedy digit construction replaces subset enumeration.,28.41,0,12/12,12/12,https://codeforces.com/problemset/problem/1714/C
ADSO_TEST_005,098,033,Robots,Inefficient,OPTIMIZE,A,Single matrix scan avoids collecting and sorting all R positions.,40.92,2556,2/2,2/2,https://codeforces.com/problemset/problem/1680/B
ADSO_TEST_006,268,007,Hossam and Friends,Inefficient,OPTIMIZE,A,Linear boundary tracking replaces set-intersection window maintenance with very large storage.,88.12,148600,4/4,4/4,https://codeforces.com/problemset/problem/1771/B
ADSO_TEST_007,053,050,Two Groups,Efficient,PRESERVE,A,Direct absolute-sum solution is O(n); counterpart sorts and repeatedly recomputes list sums.,20.66,7028,2/2,2/2,https://codeforces.com/problemset/problem/1747/A
ADSO_TEST_008,236,011,Masha and a Beautiful Tree,Inefficient,OPTIMIZE,B,Iterative pair reduction avoids fixed global scratch storage and recursive merge machinery.,30.31,18452,4/4,4/4,https://codeforces.com/problemset/problem/1741/D
ADSO_TEST_009,113,014,Lex String,Efficient,PRESERVE,A,"Index-based construction avoids repeated string slicing inside the loop, eliminating quadratic copying after sorting.",20.47,0,3/3,3/3,https://codeforces.com/problemset/problem/1689/A
ADSO_TEST_010,248,005,Cake Assembly Line,Inefficient,OPTIMIZE,A,"Single-pass interval adjustment replaces repeated revalidation/shifting of prior items, O(n²) worst case.",22.44,11768,2/2,2/2,https://codeforces.com/problemset/problem/1786/B
ADSO_TEST_011,238,006,White-Black Balanced Subtrees,Inefficient,OPTIMIZE,B,Bottom-up numeric accumulation avoids object-heavy adjacency/dataclass recursion.,27.14,5176,2/2,2/2,https://codeforces.com/problemset/problem/1676/G
ADSO_TEST_012,334,006,Very Suspicious,Inefficient,OPTIMIZE,A,Closed-form arithmetic replaces iterative sequence precomputation.,44.42,1492,10/10,10/10,https://codeforces.com/problemset/problem/1670/D
ADSO_TEST_013,256,002,awoo's Favorite Problem,Inefficient,OPTIMIZE,A,"Single linear scan replaces repeated substring searches, slicing, and string rebuilding, O(n²) worst case.",21.13,8456,2/2,2/2,https://codeforces.com/problemset/problem/1697/C
ADSO_TEST_014,204,007,GCD Partition,Efficient,PRESERVE,A,Running-prefix method uses O(1) auxiliary state instead of a full O(n) prefix-sum array.,21.02,17220,2/2,2/2,https://codeforces.com/problemset/problem/1780/B
ADSO_TEST_015,006,008,Equal Candies,Efficient,PRESERVE,A,Uses min/sum in O(n) instead of sorting O(n log n).,20.43,52,5/5,5/5,https://codeforces.com/problemset/problem/1676/B
ADSO_TEST_016,163,008,Different Differences,Efficient,PRESERVE,A,"Maintains a running quantity in O(k) instead of repeatedly recomputing sum over a growing list, O(k²).",20.21,0,4/4,3/4,https://codeforces.com/problemset/problem/1772/C
ADSO_TEST_017,027,062,Minimum Varied Number,Efficient,PRESERVE,A,Greedy digit construction replaces subset enumeration.,20.57,0,12/12,12/12,https://codeforces.com/problemset/problem/1714/C
ADSO_TEST_018,113,014,Lex String,Inefficient,OPTIMIZE,A,"Index-based construction avoids repeated string slicing inside the loop, eliminating quadratic copying after sorting.",25.15,680,3/3,3/3,https://codeforces.com/problemset/problem/1689/A
ADSO_TEST_019,276,000,Binary Strings are Fun,Efficient,PRESERVE,B,Incremental contribution avoids full 200k power-table precomputation.,21.91,468,2/2,2/2,https://codeforces.com/problemset/problem/1762/C
